transaction_id,user_id,amount,merchant,category,timestamp,location,is_foreign,hour,day_of_week,is_fraud
458532ba-b18e-4528-b045-01e44bfca5e9,9860,0.13,"Oconnor, Watson and Elliott",online,2026-01-14 03:44:14,London,1,3,2,1
6c923501-b3b2-43b3-84ea-19e127b83678,5655,11.79,Baker Ltd,healthcare,2025-07-14 15:06:50,Chicago,0,15,0,0
212c20ce-2a27-4d45-b9c4-82bcfc4ed35e,1989,51.68,Ortiz-Mays,food,2025-06-20 21:26:31,Dallas,0,21,4,0
65317327-8ab7-4e08-95ec-9711558c4989,8687,38.3,Avila-White,travel,2025-08-10 21:37:18,San Antonio,0,21,6,0
7322bde2-b6c5-44e7-b891-c026f3ea80ad,7117,43.73,Koch Group,food,2025-07-16 22:52:19,Dallas,0,22,2,0
dd07bca7-b58a-4f5b-ad99-4aa7caf1de67,7161,29.97,Murphy Group,retail,2025-09-02 06:01:46,Los Angeles,0,6,1,0
4aebd5ff-f63e-4cc2-b5fe-11e79f9b4207,5507,44.98,"Henson, Becker and Callahan",retail,2025-10-09 13:26:36,New York,0,13,3,0
71de43d5-7ba7-4b9d-a0f3-3ea45a966842,1968,53.58,Pena and Sons,retail,2025-12-26 19:48:16,New York,0,19,4,0
4beda341-c59d-4aa6-81fe-d9b03afa35f0,8930,21.28,Mcgee and Sons,travel,2026-04-27 08:45:05,San Diego,0,8,0,0
ddb829d6-2069-4f16-b889-6c0583e97a25,8657,1635.86,Cruz-Duran,entertainment,2025-07-12 03:26:04,Houston,0,3,5,1
0097c4c3-3f53-4109-bd91-4477986278e0,4499,14.3,Thompson Inc,retail,2025-06-03 06:20:18,Houston,0,6,1,0
442f27a0-4b83-43cb-9c49-a6ab7926661e,1293,40.8,Morales Inc,healthcare,2026-04-02 10:57:50,Chicago,0,10,3,0
bee40932-431a-420d-8a54-02814849c980,1217,11.96,Martinez Inc,travel,2025-10-23 09:55:59,Phoenix,0,9,3,0
50df5e82-df76-48f4-8d62-12bd89549c36,4103,65.48,Rojas-Brown,food,2025-09-29 12:27:24,New York,0,12,0,0
9feb6415-71d4-4c6c-b238-4a8620680339,3697,24.79,"Thompson, Mccarty and Rodriguez",retail,2025-07-18 13:52:16,Phoenix,0,13,4,0
882d23e6-d538-4d44-988a-91188d249b1e,4001,15.2,Griffin-Leonard,travel,2026-04-13 21:50:09,San Diego,0,21,0,0
be1489c9-378e-43f4-8500-7ce98d8a3f4c,8426,108.57,Holden-Werner,healthcare,2025-06-05 21:26:40,Houston,0,21,3,0
359191c8-221d-4c01-b045-0ce9c3d4da5c,3411,14.87,Kane PLC,travel,2025-08-12 16:31:53,Phoenix,0,16,1,0
c5f93e7f-eb7b-45c0-918e-acbfd321e231,3709,41.43,Brooks LLC,online,2026-03-20 22:56:16,San Jose,0,22,4,0
74ac50a0-f1b1-4514-bc9d-cba847e5f68b,8670,49.69,"Mendez, Thomas and Salinas",healthcare,2026-03-06 08:46:22,Phoenix,0,8,4,0
b0ec502b-3cc8-40f8-8e19-e76a95e0ca9e,7362,18.2,"Davis, Davis and Smith",utilities,2026-01-30 12:21:49,Dallas,0,12,4,0
ddd6ee1d-07dd-4cd4-99bf-1634146aac53,8995,6.18,"Bradford, Ellis and Rivas",utilities,2025-09-04 18:11:27,Dallas,0,18,3,0
33a81418-7225-4fdc-a22f-d903fc7a25d3,7516,30.27,"Torres, Shepherd and Jackson",entertainment,2025-08-26 14:02:42,Phoenix,0,14,1,0
270f48ef-3eec-4bfe-9fcc-da95c924e24c,6303,38.07,"Serrano, Hernandez and Allen",travel,2026-04-24 21:29:42,Chicago,0,21,4,0
22959cfc-578d-4d7f-aad7-86c1f196e0ef,9291,90.51,"Page, Garrett and Graham",online,2026-05-14 06:39:29,Houston,0,6,3,0
52dab21f-88df-4794-96d0-c44dee1158d5,3173,18.89,"Tyler, Hernandez and Martin",entertainment,2026-04-01 17:51:56,San Antonio,0,17,2,0
8a663682-ea85-401a-916c-99e38c69bb87,1575,3.35,"Adams, Brewer and Decker",utilities,2025-10-31 18:34:44,San Antonio,0,18,4,0
c9353d6f-2b30-4fbc-9d1b-873b36cd6b36,6661,11.94,Ramos-Santiago,online,2026-04-08 09:36:45,Philadelphia,0,9,2,0
e6adfe7b-1171-4e7a-aa8e-ee363c7f5249,6491,137.59,Scott Inc,online,2025-10-16 14:45:51,Philadelphia,0,14,3,0
d3bc0929-4d4b-4568-bf7c-9712e8301272,5853,86.09,"Bryant, Mayo and Davis",healthcare,2025-11-21 21:58:05,Houston,0,21,4,0
4d3c78df-e5ea-4fed-976a-c4894f23d8a9,7427,1949.82,"Beck, Johnson and Morales",utilities,2025-08-17 04:24:05,Berlin,1,4,6,1
68b6685d-876d-4590-af83-83f92c3acf87,3583,74.75,Huber-Rice,entertainment,2025-08-14 18:39:33,Dallas,0,18,3,0
a0a83f5c-009a-40b6-ae9d-580761d38c16,9566,7.25,Stevenson Group,utilities,2025-08-09 06:47:15,Chicago,0,6,5,0
